portrait,selectable,recrutable,rencontre,creatures,tailles,ressource_l,fichier_l,largeur_px_l,hauteur_px_l,mode_l,octets_l,bif_source_l,sha256_l,ressource_m,fichier_m,largeur_px_m,hauteur_px_m,mode_m,octets_m,bif_source_m,sha256_m,ressource_s,fichier_s,largeur_px_s,hauteur_px_s,mode_s,octets_s,bif_source_s,sha256_s
DORN,yes,yes,no,6,LMS,DORNL,grands/DORN_L.bmp,210,330,RGB,208616,data/Portrait.bif,b90450fb2d4ba2e7bbd52bc70bd025306ccc72813c0c6fa6c112c24ff87f266e,DORNM,moyens/DORN_M.bmp,169,266,RGB,135184,data/bgee.bif,6563cf86c27d37e0f60f12746a468643b1fef774ebfb2b602972e1a8495a99a5,DORNS,petits/DORN_S.bmp,54,84,RGB,13832,data/bgee.bif,cf1911b71afe3d119c2d7da42b742d5e865798af3e8fef39c6f1766370aca321
DYNAHEI,yes,no,no,0,LMS,DYNAHEIL,grands/DYNAHEI_L.bmp,210,330,RGB,208616,data/Portrait.bif,755df368ebd0396d274f815013090816f118333090d0b4fb5684ba4fcd993cbe,DYNAHEIM,moyens/DYNAHEI_M.bmp,169,266,RGB,135184,data/Portrait.bif,ab5dfa15f6d19d1813f9e420b246517f212d3355b6f8f25a772e251019ad4421,DYNAHEIS,petits/DYNAHEI_S.bmp,54,84,RGB,13832,data/Portrait.bif,4b0d611218f734bee3116e32fe8bc1fa1898844c511860d8b6d0dcf7d09b6742
EDWIN,yes,no,yes,2,LMS,EDWINL,grands/EDWIN_L.bmp,210,330,RGB,208614,data/Portrait.bif,f1aa638d9323d8984ad5f513724773d3a316198af4581e23952cc295169c1d27,EDWINM,moyens/EDWIN_M.bmp,169,266,RGB,135184,data/Portrait.bif,27dbb926e5af34b449bcba721a0001f4654bad3812661885bef3472f3abb300e,EDWINS,petits/EDWIN_S.bmp,54,84,RGB,13832,data/Portrait.bif,c9912cf9e1f2654d012779e52aa050bf3450e2b6b3cd64e298dbd9c225695853
ELDOTH,yes,no,yes,1,LMS,ELDOTHL,grands/ELDOTH_L.bmp,210,330,RGB,208616,data/Portrait.bif,f31e412f5c39d098d495a8d18ecf691b2d5d02ece9df6726cccced1b4e846626,ELDOTHM,moyens/ELDOTH_M.bmp,169,266,RGB,135184,data/Portrait.bif,3bbef656df28fb9a787bf3e2fba2e3c279ec52561eec577e829894388e74acfc,ELDOTHS,petits/ELDOTH_S.bmp,54,84,RGB,13832,data/Portrait.bif,259345a01ee7d436e070682a30697b9eddffe6eb80ac6447737af176ad223ea8
FALDORN,yes,no,no,0,LMS,FALDORNL,grands/FALDORN_L.bmp,210,330,RGB,208616,data/Portrait.bif,e4e0c4eac75ecc61b39f0f12cac00397ba1bfaa9d13cf1e84ebbf47dd00d089f,FALDORNM,moyens/FALDORN_M.bmp,169,266,RGB,135184,data/Portrait.bif,ca51716344991a52ea3fc4a07fe579ac13c19b3d93cbef968863d66208c49b03,FALDORNS,petits/FALDORN_S.bmp,54,84,RGB,13832,data/Portrait.bif,59a303c427835e1fa75704a3cbf02b3d3ef7381257ec80ef454b8d10daf42f92
GARRICK,yes,no,no,0,LMS,GARRICKL,grands/GARRICK_L.bmp,210,330,RGB,208616,data/Portrait.bif,d3853c9297130cafdf9b374e6fa467929666afb3d41ba3e97d0f24aa36fd5d52,GARRICKM,moyens/GARRICK_M.bmp,169,266,RGB,135184,data/Portrait.bif,d9fdcc3c33cfc292479eaadf1b673abf87095b0c5f85ceb441c57cb4a8c0d024,GARRICKS,petits/GARRICK_S.bmp,54,84,RGB,13832,data/Portrait.bif,9a154e46cf06ce3d4d50c90bb5f69c963b22dc1a46f076b16eef42b2517f89ec
GENDWRF,yes,no,yes,1,LMS,GENDWRFL,grands/GENDWRF_L.bmp,210,330,RGB,208614,data/Portrait.bif,c66ed5737057ef369e88e7c85976bdb8d8a7d6ecc76c9918250a60b8f52f798c,GENDWRFM,moyens/GENDWRF_M.bmp,169,266,RGB,135184,data/Portrait.bif,f9df411dfcd5f0f753be8555dd8ad71d41da9f42b6a9d3df2a55bde9d354ef0f,GENDWRFS,petits/GENDWRF_S.bmp,54,84,RGB,13832,data/Portrait.bif,12d8db2d1d7da075ef4d9ffb876036fde02ed70d86047a4941a214112331379c
GENMELF,yes,no,no,0,LMS,GENMELFL,grands/GENMELF_L.bmp,210,330,RGB,208614,data/Portrait.bif,62fe8d012015e53ffd2a2b02d2caca52328e8050aa264d542e02159e8800abf8,GENMELFM,moyens/GENMELF_M.bmp,169,266,RGB,135184,data/Portrait.bif,41526fa80d91e90c69e10145d24793f47e42b605d67a85465106deba1611a8cc,GENMELFS,petits/GENMELF_S.bmp,54,84,RGB,13832,data/Portrait.bif,b04e79f349fc0aaada0dcd49c492ad43b1cdf88226ddbdaa4b8b434b95cc4a2c
GENMHLF,yes,no,no,0,LMS,GENMHLFL,grands/GENMHLF_L.bmp,210,330,RGB,208614,data/Portrait.bif,59c1909cec352f2d0998d9b25caa2b1e82957fd6a3192e59b33b7460febaf635,GENMHLFM,moyens/GENMHLF_M.bmp,169,266,RGB,135184,data/Portrait.bif,49e8dcd0808310e0e5bae8356af8d08a5021b19a446b11d178c7b3c896f22600,GENMHLFS,petits/GENMHLF_S.bmp,54,84,RGB,13832,data/Portrait.bif,761226f617a15ea1326ddd908dbc1c37a6c35da22ea9adb9c7729f07897e3a33
GROMNIR,no,no,yes,1,S,,,,,,,,,,,,,,,,,GROMNIRS,petits/GROMNIR_S.bmp,38,60,RGB,7016,data/25Portrt.bif,c44227d2c9d84c8a4b747d92bc692a0a1fe1b96bf489962e5314d87f010f3e2f
HELM,yes,no,no,0,LMS,HELML,grands/HELM_L.bmp,210,330,RGB,208682,data/Portrait.bif,372f2055ea5b7917602cec4ea55099b1e25d644d8c40f3e599e974291977b6b4,HELMM,moyens/HELM_M.bmp,169,266,RGB,135250,data/Portrait.bif,65515a402d1a286b1d46d75705791975844db70d4b71270962c1acf16d562d70,HELMS,petits/HELM_S.bmp,54,85,RGB,14062,data/Portrait.bif,370cc304614ef5886c3ba434c3f779092c70598bbc6e86e68c92f7d9b7cd545e
HVLN,yes,no,no,0,LMS,HVLNL,grands/HVLN_L.bmp,210,330,RGB,208682,data/Portrait.bif,4dc7b60ad597a057ae820080f353abab7805d250d858bde38db80f908830da73,HVLNM,moyens/HVLN_M.bmp,169,266,RGB,135250,data/Portrait.bif,27f09443cd1211ccbc6b1b414538ebfe1c1a7467f6c2721909c34b8686d7e23a,HVLNS,petits/HVLN_S.bmp,54,85,RGB,14062,data/Portrait.bif,f8c7ec457920ea6ab1207bf338028f39b01fff07b88e4e437e3bc6ef2ba6553d
ILLISAR,no,no,yes,1,S,,,,,,,,,,,,,,,,,ILLISARS,petits/ILLISAR_S.bmp,54,84,RGB,13832,data/25Portrt.bif,25f08fc222faa7eef4d9631a1c720f8467ca945a44c5914c67bd967ba84c493c
IMOEN,yes,no,yes,1,LMS,IMOENL,grands/IMOEN_L.bmp,210,330,RGB,208616,data/Portrait.bif,ddefcb2d1ba425768e56013db15e731c063ca290761f81461671a5a59dac7303,IMOENM,moyens/IMOEN_M.bmp,169,266,RGB,135184,data/Portrait.bif,f8f8ff47c084fde65216300ffd491a59292ea6f0c53606d8a3483eaf2d159b67,IMOENS,petits/IMOEN_S.bmp,54,84,RGB,13832,data/Portrait.bif,27d8df8033610c56e2f30ba9ea417e46ce1844af1b52ffecbc61bc15f7b504bd
JAHEIRA,yes,yes,no,2,LMS,JAHEIRAL,grands/JAHEIRA_L.bmp,210,330,RGB,208616,data/Portrait.bif,380f402fde712c53fafaa2f535f75ff46bf8330ded09abf73a8b3599359c2e5d,JAHEIRAM,moyens/JAHEIRA_M.bmp,169,266,RGB,135184,data/Portrait.bif,6b413a3cdcc5a52fe8bb28618775a879bcb61eafd6677433fe169d75210a5adb,JAHEIRAS,petits/JAHEIRA_S.bmp,54,84,RGB,13832,data/Portrait.bif,2ad727a7111a02f12b48bf408ae73653f942aa6fe860c76fbe43497f2bdd5b2e
KAGAIN,yes,no,no,0,LMS,KAGAINL,grands/KAGAIN_L.bmp,210,330,RGB,208616,data/Portrait.bif,3b4e9300ae91e1719d5bea12228b4165b055dd454973459163d721c24b5fda78,KAGAINM,moyens/KAGAIN_M.bmp,169,266,RGB,135184,data/Portrait.bif,cbc1edcc51236be6d248eb597efb930ed269d3c930e5067af94319ae5d1835ed,KAGAINS,petits/KAGAIN_S.bmp,54,84,RGB,13832,data/Portrait.bif,f1faa1529f321f449235013d9e1f3a56414dd3d733b69c2a4ecfaf1c4aafba79
KHALID,yes,no,yes,1,LMS,KHALIDL,grands/KHALID_L.bmp,210,330,RGB,208616,data/Portrait.bif,40e5a323bbf024c6a9f15342b1fe9456f3c5dd4dbcf23beab5856ff00830179f,KHALIDM,moyens/KHALID_M.bmp,169,266,RGB,135184,data/Portrait.bif,867d17e98a8144967683ae6cc32bed13463252b6551c17c754a5a8d661a23588,KHALIDS,petits/KHALID_S.bmp,54,84,RGB,13832,data/Portrait.bif,8abcec6d1b4a3c66b7e5c13ee2d6312afc1cc876bb9e98185c984cf83eb3138c
KIVAN,yes,no,yes,3,LMS,KIVANL,grands/KIVAN_L.bmp,210,330,RGB,208616,data/Portrait.bif,93553e5b75ce8e0a75eb21fc248d7fd5b82e4d34377925bdaf89d13cc19df404,KIVANM,moyens/KIVAN_M.bmp,169,266,RGB,135184,data/Portrait.bif,506ccf265ae9b587cfead948c9f104b3f9c7e80a3404d2ae3ea7eb16d2c005ed,KIVANS,petits/KIVAN_S.bmp,54,84,RGB,13832,data/Portrait.bif,8a0d339ea37a47e16dd8f69cfdc57c7c212531540e5855ba866bc557ba1a9fdc
MAN1,yes,no,yes,1,LMS,MAN1L,grands/MAN1_L.bmp,210,330,RGB,208616,data/Portrait.bif,29760936460a6dc4fe8807f0eebdb4706d10b8417a86f86c1e308977e4609839,MAN1M,moyens/MAN1_M.bmp,169,266,RGB,135184,data/Portrait.bif,838bce15bb56b10861d292300f56b21204058bda7b9d0f9efe796826868a19d1,MAN1S,petits/MAN1_S.bmp,54,84,RGB,13832,data/Portrait.bif,a261b5ad1fe5e26b10352ffa4d9f37a6068ca4f88b5988b12f0f7df7b2ed6644
MAN2,yes,no,yes,1,LMS,MAN2L,grands/MAN2_L.bmp,210,330,RGB,208616,data/Portrait.bif,811962a059561543a25cd4255778f1b89eeeed23095585f5c7a67b596f88cd28,MAN2M,moyens/MAN2_M.bmp,169,266,RGB,135184,data/Portrait.bif,62daae7d776de223f9557386bec4efca9e0887511876dd809376792ff8261c72,MAN2S,petits/MAN2_S.bmp,54,84,RGB,13832,data/Portrait.bif,c2e324765902aeece9c3867925bd2b739d66fb783f13f0943e7126eacef70226
MANLEY0,yes,no,no,0,LMS,MANLEY0L,grands/MANLEY0_L.bmp,210,330,RGB,208616,data/patch13.bif,b71381c00cf95d62cc03b5573f4a25adebd2708454a100278063ae4e65c0a3de,MANLEY0M,moyens/MANLEY0_M.bmp,169,266,RGB,135184,data/patch13.bif,d75a8bc7aaa893a6935a79966f4abe723af8f4fbd73dbd96c8956ccd6c3d2e9c,MANLEY0S,petits/MANLEY0_S.bmp,54,84,RGB,13832,data/patch13.bif,8ea887ca69e16259c40d9228e60e1430bcbd1a290e9130330f65ab0f582adf27
MANLEY1,yes,no,no,0,LMS,MANLEY1L,grands/MANLEY1_L.bmp,210,330,RGB,208616,data/patch13.bif,7581d1537553879f97c0960f20314af2fb4e75c503b1973c261ab96b1022574b,MANLEY1M,moyens/MANLEY1_M.bmp,169,266,RGB,135184,data/patch13.bif,6f8c2fee8c824f8d27c9cf4cbd771806c03805dbe96a9cdf56b1bb7f25fa6267,MANLEY1S,petits/MANLEY1_S.bmp,54,84,RGB,13832,data/patch13.bif,b38f6110d6197fb6c4bc27e1905833cdb1a352705fe620e95fdee870412692ee
MANLEY2,yes,no,no,0,LMS,MANLEY2L,grands/MANLEY2_L.bmp,210,330,RGB,208616,data/patch13.bif,15237ab64997e6dfd7bd498643f341199653dae1a61de137d9ff0020997a2de8,MANLEY2M,moyens/MANLEY2_M.bmp,169,266,RGB,135184,data/patch13.bif,9cefe579cc4b7dc6fa29e4fb07be0ee0d6e9bd978e9be3a2ecacc05ed1397eeb,MANLEY2S,petits/MANLEY2_S.bmp,54,84,RGB,13832,data/patch13.bif,ff42dbdf4a7c4735ca4c84b67134fc2d3005ca0ae7af18a32b8b1938fb8c59a6
MANLEY3,yes,no,no,0,LMS,MANLEY3L,grands/MANLEY3_L.bmp,210,330,RGB,208616,data/patch13.bif,991a3293af106f26fe0fce8be4f88bf52eaa4f598decdb0caf6eb37b59642296,MANLEY3M,moyens/MANLEY3_M.bmp,169,266,RGB,135184,data/patch13.bif,a88d2f71a6a37876138dde00270344e082efdb4a0f437bb33e55c47d2e2a2ecd,MANLEY3S,petits/MANLEY3_S.bmp,54,84,RGB,13832,data/patch13.bif,ca61cbc01ce3c123256c1f925974c34bf98139a59cec1f0822977f2448ba85f1
MANLEY4,yes,no,no,0,LMS,MANLEY4L,grands/MANLEY4_L.bmp,210,330,RGB,208616,data/patch13.bif,a301b4f7607ae686ef37e4226d39feb6ad5827ef729d59c1314f7772e11bf680,MANLEY4M,moyens/MANLEY4_M.bmp,169,266,RGB,135184,data/patch13.bif,72ccae4cb50873f91d63f880d106adc1d2dd10b2f400e1fac6743cf1ac62cedd,MANLEY4S,petits/MANLEY4_S.bmp,54,84,RGB,13832,data/patch13.bif,e3b789b6293f093d3230e840731ee3aa9ba8db1437fca7337a4f65913cb62ac5
MANLEY5,yes,no,no,0,LMS,MANLEY5L,grands/MANLEY5_L.bmp,210,330,RGB,208616,data/patch13.bif,d83b5803706a6a3a16ba97d65d6a093dee4d266cf0fceaf745b02db5325522ec,MANLEY5M,moyens/MANLEY5_M.bmp,169,266,RGB,135184,data/patch13.bif,55fb6c189babe1b8a1f84b6223a35475010f8d071956689a5a5903acbd609cee,MANLEY5S,petits/MANLEY5_S.bmp,54,84,RGB,13832,data/patch13.bif,718cde108681dcc9368816fc0a16337e3689183691bb06cb983e8bd7a64014d6
