pnj,nom,base,taille,ressource,largeur,hauteur,mode,bif_source,sha256,note,tailles
TTJAHEIR,Jaheira,JAHEIRA,moyen,JAHEIRAM,169,266,RGB,data/Portrait.bif,6b413a3cdcc5a52fe8bb28618775a879bcb61eafd6677433fe169d75210a5adb,variante tutoriel,
TTJAHEIR,Jaheira,JAHEIRA,petit,JAHEIRAS,54,84,RGB,data/Portrait.bif,2ad727a7111a02f12b48bf408ae73653f942aa6fe860c76fbe43497f2bdd5b2e,variante tutoriel,
TTMINSC,Minsc,NMINSC,grand,NMINSCL,210,330,RGB,data/Portrait.bif,f71976155098bb3f902e98dd719aacc65e99faccb5d6cc3c55b3133986231468,variante tutoriel,
TTMINSC,Minsc,NMINSC,moyen,NMINSCM,169,266,RGB,data/Portrait.bif,8f0fa8ce99d31c16c36fd60ac3e82dfa10027f0f87da99233efc915bcd891a7a,variante tutoriel,
TTMINSC,Minsc,NMINSC,petit,NMINSCS,54,84,RGB,data/Portrait.bif,8efd9d468b0f53e4df6d34560eb4174dc8a0a4a39ce5c89d047644afde2a7778,variante tutoriel,
SAREVOK,Sarevok,SAREVOK,grand,SAREVOKL,210,330,RGB,data/25Portrt.bif,ac324b613a7d973dcc75d20f06e3498607e100770fc78ad778d226724c61a3ca,,
SAREVOK,Sarevok,SAREVOK,moyen,SAREVOKM,169,266,RGB,data/25Portrt.bif,c9d01c407dc52eea8d3bf18c707fbdf426041151bb946303bcbf658564c2db6d,,
SAREVOK,Sarevok,SAREVOK,petit,SAREVOKS,54,84,RGB,data/25Portrt.bif,4420749060e441514faaa041dbfc57c89967b4cafeb236a52541a218df36f907,,
IDIOT01,Jaheira,JAHEIRA,grand,JAHEIRAL,210,330,RGB,data/Portrait.bif,380f402fde712c53fafaa2f535f75ff46bf8330ded09abf73a8b3599359c2e5d,entrée technique,
IDIOT01,Jaheira,JAHEIRA,moyen,JAHEIRAM,169,266,RGB,data/Portrait.bif,6b413a3cdcc5a52fe8bb28618775a879bcb61eafd6677433fe169d75210a5adb,entrée technique,
IDIOT01,Jaheira,JAHEIRA,petit,JAHEIRAS,54,84,RGB,data/Portrait.bif,2ad727a7111a02f12b48bf408ae73653f942aa6fe860c76fbe43497f2bdd5b2e,entrée technique,
RASAAD,Rasaad,RASAAD,grand,RASAADL,210,330,RGB,data/bgee.bif,ae5f64bb391ea60d238bbe3a690d9e06f9059bc206b496af64f238e25301d046,,
RASAAD,Rasaad,RASAAD,moyen,RASAADM,169,266,RGB,data/bgee.bif,0d479bf4544adee752d209510fd07eeae2413cbfb71d84c3f018edb2022ce517,,
RASAAD,Rasaad,RASAAD,petit,RASAADS,54,84,RGB,data/bgee.bif,8986b40a77b6198d760dcce7e534a7da7b147edea62d363736b33cd744653a21,,
WILSON,Wilson,WILSON,grand,WILSONL,210,330,RGB,data/Portrait.bif,e60966c6c5560f67b7b55bd26071d13767dca11608741599f5b31c332cb024a8,,
WILSON,Wilson,WILSON,moyen,WILSONM,169,266,RGB,data/Portrait.bif,031b2a6257f13c5cdfa47b606d741fafdf098f44bcbb9822614f6b5ed6987fb4,,
WILSON,Wilson,WILSON,petit,WILSONS,54,84,RGB,data/Portrait.bif,ca95af74349eef3d7c0004ca429e425c055f2001bab7fb96dd513e03cf50592b,,
DORN,Dorn,DORN,grand,DORNL,210,330,RGB,data/Portrait.bif,b90450fb2d4ba2e7bbd52bc70bd025306ccc72813c0c6fa6c112c24ff87f266e,,
DORN,Dorn,DORN,moyen,DORNM,169,266,RGB,data/bgee.bif,6563cf86c27d37e0f60f12746a468643b1fef774ebfb2b602972e1a8495a99a5,,
DORN,Dorn,DORN,petit,DORNS,54,84,RGB,data/bgee.bif,cf1911b71afe3d119c2d7da42b742d5e865798af3e8fef39c6f1766370aca321,,
OHHFAK,Hexxat,OHHEX,grand,OHHEXL,210,330,RGB,data/Hexxat.bif,8f64eae7be7fa91cd13bc17e4d7ce6b449e122e9d5fa013bd543bc2760186eee,Hexxat (déguisement),
OHHFAK,Hexxat,OHHEX,moyen,OHHEXM,169,266,RGB,data/Hexxat.bif,0022c1f2ce1c9ca89809657c7f06717b64089d1264c70b321c023dbc83ca4b38,Hexxat (déguisement),
OHHFAK,Hexxat,OHHEX,petit,OHHEXS,54,84,RGB,data/Hexxat.bif,40b0239a3f07233f410cd57f3e72cdcd1c2b8672364fafcb1200eb884b5a26c0,Hexxat (déguisement),
HEXXAT,Hexxat,OHHEXX,grand,OHHEXXL,210,330,RGB,data/Hexxat.bif,992ba6b6433ae3c9d66ec1e8a4bea56446ef4943f6d88ebbf2bcd5717c4c537d,,
HEXXAT,Hexxat,OHHEXX,moyen,OHHEXXM,169,266,RGB,data/Hexxat.bif,a4f8276f8a264deb9f673706af6e2f41347bc5985d8afb1343e45c0fbb42fcff,,
HEXXAT,Hexxat,OHHEXX,petit,OHHEXXS,54,84,RGB,data/Hexxat.bif,bd22c836de694661263952315cc81cdeecdbea62e9349c2fcda15078cc47b0fe,,
NEERA,Neera,NEERA,grand,NEERAL,210,330,RGB,data/bgee.bif,601b778739a9ed9b014cc9f70696b97ded6e8ef03a0f7495414e86d9c4852b71,,
NEERA,Neera,NEERA,moyen,NEERAM,169,266,RGB,data/bgee.bif,e16e108c00bac58dfcb6971c9be0fadf7af42cf5eeb3139962e218efb8f3273e,,
NEERA,Neera,NEERA,petit,NEERAS,54,84,RGB,data/bgee.bif,db3bbdfee405bb70a74aa719bdb188637e2f0b6fac23a44175af792b1deaad42,,
