run_key,domain,run_id,asset_count,asset_ids,path,run_kind,descriptor_path,recipe_path,result_state,qa_state,selection_state,selection_authority,inputs_state,outputs_state,provenance_state,legacy,notes
animations-pack:AR2014,animations,release-pack-ar2014,1,animations:pack:AR2014,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/AR2014,area-animation-release-pack,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/AR2014/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR2014/qa-v2-6d4ab2b15ad353bc.json
animations-pack:AR2016,animations,release-pack-ar2016,1,animations:pack:AR2016,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/AR2016,area-animation-release-pack,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/AR2016/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR2016/qa-v2-ef799a88b49d89ec.json
animations-pack:AR2017,animations,release-pack-ar2017,1,animations:pack:AR2017,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/AR2017,area-animation-release-pack,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/AR2017/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR2017/qa-v2-16a37cd3925dc6af.json
animations-pack:AR2018,animations,release-pack-ar2018,1,animations:pack:AR2018,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/AR2018,area-animation-release-pack,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/AR2018/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR2018/qa-v2-29de920a5b0ed718.json
animations-pack:AR2100,animations,release-pack-ar2100,1,animations:pack:AR2100,animations/packs-par-zone/combined-20260901-ar2100-portals-30fps-v2/AR2100,area-animation-release-pack,animations/packs-par-zone/combined-20260901-ar2100-portals-30fps-v2/AR2100/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR2100/qa-approval.json
animations-pack:AR2201,animations,release-pack-ar2201,1,animations:pack:AR2201,animations/packs-par-zone/combined-20260901-active-plus-am2201ab-spline-fit1-feather1-30fps-v2/AR2201,area-animation-release-pack,animations/packs-par-zone/combined-20260901-active-plus-am2201ab-spline-fit1-feather1-30fps-v2/AR2201/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR2201/qa-approval.json
animations-pack:AR2300,animations,release-pack-ar2300,1,animations:pack:AR2300,animations/packs-par-zone/ar2300-waterfalls-x4-30fps-test-20260906/AR2300,area-animation-release-pack,animations/packs-par-zone/ar2300-waterfalls-x4-30fps-test-20260906/AR2300/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR2300/qa-v2-3fa98732867d03c9.json
animations-pack:AR3000,animations,release-pack-ar3000,1,animations:pack:AR3000,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR3000,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR3000/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR3000/qa-approval.json
animations-pack:AR3011,animations,release-pack-ar3011,1,animations:pack:AR3011,animations/packs-par-zone/combined-20260911-ar3011-am3011a-canvas256-top-left-right-bottom64-am3011b-xbr30fps-contour-aura-rgb-dilate-v2/AR3011,area-animation-release-pack,animations/packs-par-zone/combined-20260911-ar3011-am3011a-canvas256-top-left-right-bottom64-am3011b-xbr30fps-contour-aura-rgb-dilate-v2/AR3011/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR3011/qa-v2-e366ecf0f35f0ac3.json
animations-pack:AR3021,animations,release-pack-ar3021,1,animations:pack:AR3021,animations/packs-par-zone/ar3021-illithids-apo8-x4-30fps-v2-spline-fit1-feather4-20260911/AR3021,area-animation-release-pack,animations/packs-par-zone/ar3021-illithids-apo8-x4-30fps-v2-spline-fit1-feather4-20260911/AR3021/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR3021/qa-v2-0da2d8e6ddca07e1.json
animations-pack:AR5200,animations,release-pack-ar5200,1,animations:pack:AR5200,animations/packs-par-zone/combined-20260901-chimsmk-oval-dstdvl1a-b-c-activefade7-20-7-candidate/AR5200,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-oval-dstdvl1a-b-c-activefade7-20-7-candidate/AR5200/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR5200/qa-approval.json
animations-pack:AR5500,animations,release-pack-ar5500,1,animations:pack:AR5500,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR5500,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR5500/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR5500/qa-approval.json
animations-pack:AR6300,animations,release-pack-ar6300,1,animations:pack:AR6300,animations/packs-par-zone/combined-20260901-chimsmk-oval-dstdvl1a-b-c-activefade7-20-7-candidate/AR6300,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-oval-dstdvl1a-b-c-activefade7-20-7-candidate/AR6300/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR6300/qa-approval.json
animations-pack:AR6400,animations,release-pack-ar6400,1,animations:pack:AR6400,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR6400,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/AR6400/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/AR6400/qa-approval.json
animations-pack:OH4000,animations,release-pack-oh4000,1,animations:pack:OH4000,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/OH4000,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/OH4000/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/OH4000/qa-approval.json
