asset_key,resref,format,container_version,frame_count,cycle_count,width,height,source_bif,locator,source_size,source_sha256,extracted_path
ui-resource:bam:STONRING,STONRING,BAM,V2,1,1,,,data/GUIIcon.bif,0x00401791,76,163AAA12C3A38F462BB90B757D11D0BE1E0D7780DD94FDAE6D85DE2BA17ACC74,interface/source/bam/STONRING.bam
ui-resource:bam:STONSHIL,STONSHIL,BAM,V2,1,1,,,data/GUIIcon.bif,0x00401792,104,C31EC3BE64BB48688B34D4952EA89C2210F343C4F606768BE37C822DE31D41D4,interface/source/bam/STONSHIL.bam
ui-resource:bam:STONSLOT,STONSLOT,BAM,V2,16,4,,,data/GUIBam.bif,0x00C0008E,688,F8BC52C61573B507C7DBE950FC0D477F710B58AFC57ACCB904022675CE41EF59,interface/source/bam/STONSLOT.bam
ui-resource:bam:STONSML,STONSML,BAM,V1,255,255,,,data/GUIFont.bif,0x00A0000A,15747,ADA2A8F6D59131798460C7D8D0A46308FF00B3AE28E60F888790E63A74CDEDB7,interface/source/bam/STONSML.bam
ui-resource:bam:STONSPEL,STONSPEL,BAM,V1,1,2,,,data/GUIIcon.bif,0x00401793,460,F82A6A8C10A514CA2E6F4F6473495EBC59FCA96F5CC5E0220CA1CC630DFD81D2,interface/source/bam/STONSPEL.bam
ui-resource:bam:STONWEAP,STONWEAP,BAM,V2,1,1,,,data/GUIIcon.bif,0x00401794,104,16ABD13882111486D37CEA39F91ED3BF26AC46629B30D2AEABD083A1496C7C22,interface/source/bam/STONWEAP.bam
ui-resource:bam:STORBAG,STORBAG,BAM,V2,1,1,,,data/GUIBam.bif,0x00C0008F,76,8D35C46DD2F7FAF7CD62C06B63B3C12D2FEFC158A3D8938A65FEACEB74C06FB8,interface/source/bam/STORBAG.bam
ui-resource:bam:STORINN,STORINN,BAM,V2,1,1,,,data/GUIBam.bif,0x00C00090,104,D6207AEA0B21F8859E2E5B486A9198F80D56E84A9EA29B73E180B9018D34AD2E,interface/source/bam/STORINN.bam
ui-resource:bam:STORSTOR,STORSTOR,BAM,V2,1,1,,,data/GUIBam.bif,0x00C00091,104,612A6882854982220B22EC8207744EB981F5D39FD38D71C2F090188143A38E5B,interface/source/bam/STORSTOR.bam
ui-resource:bam:STORTIN2,STORTIN2,BAM,V2,1,1,,,data/GUIBam.bif,0x00C00092,104,75D805FA18429B72A3114EDC44D298F794B19D3907CF5DAD100788DA1BBCE210,interface/source/bam/STORTIN2.bam
ui-resource:bam:STORTINT,STORTINT,BAM,V2,1,1,,,data/GUIBam.bif,0x00C00093,76,40F44F72EE298F080A3F371DC7AB604DEB2C17EAAC6080E45E5C5F85CAED0F89,interface/source/bam/STORTINT.bam
ui-resource:bam:STORTMPL,STORTMPL,BAM,V2,1,1,,,data/GUIBam.bif,0x00C00094,104,4EE29A554E901DCBAC57DE782A96E9793E4E57AFD3D609AA09CDEA720B42F0E6,interface/source/bam/STORTMPL.bam
ui-resource:bam:STORTVRN,STORTVRN,BAM,V2,1,1,,,data/GUIBam.bif,0x00C00095,104,C994EC4842044A1494BCD80FE98033AD88EEC418CB302625F88D6C22D8DB574F,interface/source/bam/STORTVRN.bam
ui-resource:bam:TOGGLE,TOGGLE,BAM,V1,25,5,,,data/GUIBam.bif,0x00C00096,3582,C7F4B80D9C5F89435D66B730F00335E6ACD5EF1FB65562743300B1869F73B99F,interface/source/bam/TOGGLE.bam
ui-resource:bam:TOOLFONT,TOOLFONT,BAM,V1,255,255,,,data/GUIFont.bif,0x00A0000B,9945,819B0D5A4727C53DF89A0CAC17E3FFF3535D1249B5AD95A98712ED8D404C7071,interface/source/bam/TOOLFONT.bam
