asset_key,relation,dependency_resref,dependency_format,present,source_bif
ui-resource:bam:LOGOTBP,texture-page,MOS0182,PVRZ,yes,data/bgee.bif
ui-resource:bam:LOGOTOB,texture-page,MOS0182,PVRZ,yes,data/bgee.bif
ui-resource:bam:LOGOTOB,texture-page,MOS0183,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPBUT,texture-page,MOS0185,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0185,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0186,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0187,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0188,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0189,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0190,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0191,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0192,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0193,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0194,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0195,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0196,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0197,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0198,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0199,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0200,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0201,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0202,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0203,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0204,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0205,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0206,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0207,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0208,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0209,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0210,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0211,PVRZ,yes,data/bgee.bif
