asset_key,asset_directory,spatial_run,spatial_state,interpolation_run,interpolation_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
effects:bam:CGINVOCA,effects/ressources/CGINVOCA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:CGNECROM,effects/ressources/CGNECROM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:COLDH,effects/ressources/COLDH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:CSHIELDH,effects/ressources/CSHIELDH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:CURSEH,effects/ressources/CURSEH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DAGGER,effects/ressources/DAGGER,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DART,effects/ressources/DART,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DDOORH,effects/ressources/DDOORH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1A1,effects/ressources/DEMB1A1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1A2,effects/ressources/DEMB1A2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1A3,effects/ressources/DEMB1A3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1A4,effects/ressources/DEMB1A4,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1A5,effects/ressources/DEMB1A5,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1A6,effects/ressources/DEMB1A6,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1A7,effects/ressources/DEMB1A7,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1A8,effects/ressources/DEMB1A8,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1A9,effects/ressources/DEMB1A9,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1CA,effects/ressources/DEMB1CA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DEMB1G1,effects/ressources/DEMB1G1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DSTDVL2A,effects/ressources/DSTDVL2A,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:DUST,effects/ressources/DUST,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:EXALTAH,effects/ressources/EXALTAH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
