asset_key,resref,format,dependency_count,source_bif,locator,source_size,source_sha256,extracted_path
effect:vvc:SPPROTEC,SPPROTEC,VVC,1,data/Effects.bif,0x003001C8,492,132918C067FEB42FA62EAE9701EDB3CFFF5FD8DC5CAA999ED4E8518411D365EC,effects/source/vvc/SPPROTEC.vvc
effect:vvc:SPRAISED,SPRAISED,VVC,1,data/Effects.bif,0x003001C9,492,B5821D60B9BAD62A65028FA241B03FBBAEAC20E5CEBA748AB1402DBA0F21796D,effects/source/vvc/SPRAISED.vvc
effect:vvc:SPRES01,SPRES01,VVC,1,data/25Effect.bif,0x08C00050,492,B7D07B0229BFDFDF7140085BA80B65A48701BB6AD866368D490BD61771AF286A,effects/source/vvc/SPRES01.vvc
effect:vvc:SPRES02,SPRES02,VVC,1,data/25Effect.bif,0x08C00051,492,138A3A081650F8A9619E17B5367A80F72216B4FFB96268267D0543862212F52E,effects/source/vvc/SPRES02.vvc
effect:vvc:SPRMCURS,SPRMCURS,VVC,1,data/Effects.bif,0x003001CA,492,292C377746E54FB8AB6006B462C8096F1AEB370DA4AA9645502C35DEBC7980C5,effects/source/vvc/SPRMCURS.vvc
effect:vvc:SPROTECT,SPROTECT,VVC,1,data/Effects.bif,0x003001CB,492,B1CA5791D2FC9649A577FB1E2629EAA7D34F31952CC933C6CE9AD410653CCCE3,effects/source/vvc/SPROTECT.vvc
effect:vvc:SPSARMOR,SPSARMOR,VVC,1,data/Effects.bif,0x003001CC,492,C2F5C8264E5AA959E248C16CF5EB19F798D42ED26C7968D89E73522BD8863978,effects/source/vvc/SPSARMOR.vvc
effect:vvc:SPSDIMPA,SPSDIMPA,VVC,1,data/Effects.bif,0x003001CD,492,49B95765392611BC69EA4C3502D7F304502C5C34F16D75269CFAF3DD4E641C56,effects/source/vvc/SPSDIMPA.vvc
effect:vvc:SPSETSCD,SPSETSCD,VVC,1,data/25Effect.bif,0x08C00052,492,6E9714033BDE91B21A45F3415842C01E7C2A29A46B72DCEE5DC7A56747D71644,effects/source/vvc/SPSETSCD.vvc
effect:vvc:SPSETTID,SPSETTID,VVC,1,data/25Effect.bif,0x08C00053,492,608957779331A5D9B4A89B4509A05A9C558229E1A66F8BACA28167D2C94A7E55,effects/source/vvc/SPSETTID.vvc
effect:vvc:SPSETTIH,SPSETTIH,VVC,1,data/PATCH26.BIF,0x08600077,492,68D0CA98DF862D97552051FF807C28AF0109CBE55845FEE80873394B353FE7AC,effects/source/vvc/SPSETTIH.vvc
effect:vvc:SPSHKIMP,SPSHKIMP,VVC,1,data/Effects.bif,0x003001D1,492,22C3074E56682B8DCF4645D55AB481FD70C2EF754023F25B5124AF4D20A0E489,effects/source/vvc/SPSHKIMP.vvc
effect:vvc:SPSOLBRD,SPSOLBRD,VVC,1,data/25Effect.bif,0x08C00055,492,8561A17747D54155B8C4837A17FB63CE811F7815A8A9827022112816D55B138C,effects/source/vvc/SPSOLBRD.vvc
effect:vvc:SPSPEV,SPSPEV,VVC,1,data/25Effect.bif,0x08C00056,492,EA20950216708F85C0884503D3BAB2936F306A433791014574AE8DD6F22C4A65,effects/source/vvc/SPSPEV.vvc
effect:vvc:SPSPMAZE,SPSPMAZE,VVC,1,data/Effects.bif,0x003001D2,492,BEF379513092FB4CBBD5A36C37DAE1EE4C6815D27F635188FBE457972A6C87CA,effects/source/vvc/SPSPMAZE.vvc
effect:vvc:SPSTONES,SPSTONES,VVC,1,data/Effects.bif,0x003001D4,492,6C4B8B7B500229816C5D4E7A0E6832450A4FD34D18113F42688FD75D578B4252,effects/source/vvc/SPSTONES.vvc
effect:vvc:SPSTRENH,SPSTRENH,VVC,1,data/Effects.bif,0x003001D5,492,DEBAEABD82962AC9512EE8388D12B5F2A3C4A8CA6FD5EF6C92F50765238A3037,effects/source/vvc/SPSTRENH.vvc
effect:vvc:SPSTRMVA,SPSTRMVA,VVC,1,data/25Effect.bif,0x08C00057,492,5A047F83CD4AD2B9469CBDEF7F089F76B3FE3A52E5C7542C39B33D021A7FAF99,effects/source/vvc/SPSTRMVA.vvc
effect:vvc:SPSTRMVB,SPSTRMVB,VVC,1,data/25Effect.bif,0x08C00058,492,082C48953E9200B6D364128731C3409E57C835BB955E679FD568B6CEAB9390F9,effects/source/vvc/SPSTRMVB.vvc
effect:vvc:SPSTURNI,SPSTURNI,VVC,1,data/Effects.bif,0x003001D6,492,DEBFB1FAE5E98CC2571751B049C87FC217F0344BA3CFA9332012B2CDF1F1B02A,effects/source/vvc/SPSTURNI.vvc
effect:vvc:SPSUMGTE,SPSUMGTE,VVC,1,data/Effects.bif,0x003001D7,492,8D25ABBB87097C53615000CA2C9EEF5AEA7E1A3A9CDF32A6332D486D4F6CE09B,effects/source/vvc/SPSUMGTE.vvc
effect:vvc:SPSUMP,SPSUMP,VVC,1,data/25Effect.bif,0x08C00059,492,210B26E4FC33F6F78890367E59BC5DB46C01AFC20523A4BD1F0DEBF6658AD7F7,effects/source/vvc/SPSUMP.vvc
effect:vvc:SPSUMPLN,SPSUMPLN,VVC,1,data/25Effect.bif,0x08C0005A,492,CA96495FD92B1F904CD7E0C40EEA9C0E5AF182BC9DE9CD8CEB21F7A39030ECC4,effects/source/vvc/SPSUMPLN.vvc
effect:vvc:SPSUNRAY,SPSUNRAY,VVC,1,data/Effects.bif,0x003001D8,492,25B1FFEC0B42E0EAA7A522C968D809CB06ABB18BB7942DD3D8092F1244ED2FED,effects/source/vvc/SPSUNRAY.vvc
effect:vvc:SPTENSTB,SPTENSTB,VVC,1,data/Effects.bif,0x003001D9,492,76B01F0BB963AAD8D8EF5A57487CEA56A5B58B79AA73008F30DD9334710E652A,effects/source/vvc/SPTENSTB.vvc
effect:vvc:SPTENSTT,SPTENSTT,VVC,1,data/Effects.bif,0x003001DA,492,7820066781FD3016844BF6A0B1DEAD65B7A26892B8202096DAC94115BF50B698,effects/source/vvc/SPTENSTT.vvc
