bam_resref,source_sha256,canonical_sha256,source_bif,locator,source_file,canonical_file,source_manifest,extraction_state
WQLZWSS,CD92B0239782CC86C64A9416AFC2904380B6E15E6CA63581199D2194BCA27EE4,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A4B,sprite/ressources/WQLZWSS/sources/cd92b0239782cc86c64a9416afc2904380b6e15e6ca63581199d2194bca27ee4/source.bamc,sprite/ressources/WQLZWSS/sources/cd92b0239782cc86c64a9416afc2904380b6e15e6ca63581199d2194bca27ee4/source.bam,sprite/ressources/WQLZWSS/sources/cd92b0239782cc86c64a9416afc2904380b6e15e6ca63581199d2194bca27ee4/source.json,verified
WQLZWSX,CD92B0239782CC86C64A9416AFC2904380B6E15E6CA63581199D2194BCA27EE4,5BA2C8FECFE21A73CB65C19629F441ED0FC47159E0BB1CD0F47CAD1888B94051,data/PaperDol.bif,0x06200A4C,sprite/ressources/WQLZWSX/sources/cd92b0239782cc86c64a9416afc2904380b6e15e6ca63581199d2194bca27ee4/source.bamc,sprite/ressources/WQLZWSX/sources/cd92b0239782cc86c64a9416afc2904380b6e15e6ca63581199d2194bca27ee4/source.bam,sprite/ressources/WQLZWSX/sources/cd92b0239782cc86c64a9416afc2904380b6e15e6ca63581199d2194bca27ee4/source.json,verified
WQMAXA1,A7E282BAF6B1CF180CE06EAC7AEC7522EA51D4306540F3B1F07603856373EE55,43CA093F9A42672387248F988E6077C6FC67025B671B9CF083BA218392CE771C,data/OBJAnim.bif,0x002005BF,sprite/ressources/WQMAXA1/sources/a7e282baf6b1cf180ce06eac7aec7522ea51d4306540f3b1f07603856373ee55/source.bamc,sprite/ressources/WQMAXA1/sources/a7e282baf6b1cf180ce06eac7aec7522ea51d4306540f3b1f07603856373ee55/source.bam,sprite/ressources/WQMAXA1/sources/a7e282baf6b1cf180ce06eac7aec7522ea51d4306540f3b1f07603856373ee55/source.json,verified
WQMAXA3,334C56962CFEA912ED08B25F4AD73F4C84A32089DE70311C1CD9B4C15B1AD86A,9DCF1879E872458EA2F487A1EA1DDB2277A639CC69865FA956709841B02632DD,data/OBJAnim.bif,0x002005C0,sprite/ressources/WQMAXA3/sources/334c56962cfea912ed08b25f4ad73f4c84a32089de70311c1cd9b4c15b1ad86a/source.bamc,sprite/ressources/WQMAXA3/sources/334c56962cfea912ed08b25f4ad73f4c84a32089de70311c1cd9b4c15b1ad86a/source.bam,sprite/ressources/WQMAXA3/sources/334c56962cfea912ed08b25f4ad73f4c84a32089de70311c1cd9b4c15b1ad86a/source.json,verified
WQMAXA5,1407C68FA07E32F7B46A0112F449AB92AC405D32DD37A6C6B720E0F4F704C878,A42E9BBF59CB10619CA5F662616F2C880A156D43DC4E423B13B1FA6B0DC345E0,data/OBJAnim.bif,0x002005C1,sprite/ressources/WQMAXA5/sources/1407c68fa07e32f7b46a0112f449ab92ac405d32dd37a6c6b720e0f4f704c878/source.bamc,sprite/ressources/WQMAXA5/sources/1407c68fa07e32f7b46a0112f449ab92ac405d32dd37a6c6b720e0f4f704c878/source.bam,sprite/ressources/WQMAXA5/sources/1407c68fa07e32f7b46a0112f449ab92ac405d32dd37a6c6b720e0f4f704c878/source.json,verified
WQMAXA7,C40E4EB83C082C60F22D3CFB6F105B9ECBD88A2846887DB20E035DA4D0AC84E1,CCB1E643570DEE0C0D0BFBBBB5635120E0AFC01CC9D4513E87B2D7100D6C6074,data/OBJAnim.bif,0x002005C2,sprite/ressources/WQMAXA7/sources/c40e4eb83c082c60f22d3cfb6f105b9ecbd88a2846887db20e035da4d0ac84e1/source.bamc,sprite/ressources/WQMAXA7/sources/c40e4eb83c082c60f22d3cfb6f105b9ecbd88a2846887db20e035da4d0ac84e1/source.bam,sprite/ressources/WQMAXA7/sources/c40e4eb83c082c60f22d3cfb6f105b9ecbd88a2846887db20e035da4d0ac84e1/source.json,verified
WQMAXA8,65988240C55A43236C5527497449005697E29BC92134793D1C6EEBAA880A1874,4A3FCA6CECFB8C80725F91282D1043C493CFAC0191FEC7C01DC33FFEDD4890AB,data/OBJAnim.bif,0x002005C3,sprite/ressources/WQMAXA8/sources/65988240c55a43236c5527497449005697e29bc92134793d1c6eebaa880a1874/source.bamc,sprite/ressources/WQMAXA8/sources/65988240c55a43236c5527497449005697e29bc92134793d1c6eebaa880a1874/source.bam,sprite/ressources/WQMAXA8/sources/65988240c55a43236c5527497449005697e29bc92134793d1c6eebaa880a1874/source.json,verified
WQMAXA9,6455C6157D15675D685E0A78DFF7F284540889C81EF81A4E09742749D5454776,B84FCABC93D9EA6548190205924956077E5110438BD166E4B9DEC34104D652A1,data/OBJAnim.bif,0x002005C4,sprite/ressources/WQMAXA9/sources/6455c6157d15675d685e0a78dff7f284540889c81ef81a4e09742749d5454776/source.bamc,sprite/ressources/WQMAXA9/sources/6455c6157d15675d685e0a78dff7f284540889c81ef81a4e09742749d5454776/source.bam,sprite/ressources/WQMAXA9/sources/6455c6157d15675d685e0a78dff7f284540889c81ef81a4e09742749d5454776/source.json,verified
WQMAXG1,4F93481B4213CA12BE4EBA1C6D2DACD7AAAE403737A491C2C207358AF8015E4A,A64E3A681EF3BCBC10F5B6FEF9AEB4B27C3E0B0A8EE3050C1774E8ADD471A266,data/OBJAnim.bif,0x002005C5,sprite/ressources/WQMAXG1/sources/4f93481b4213ca12be4eba1c6d2dacd7aaae403737a491c2c207358af8015e4a/source.bamc,sprite/ressources/WQMAXG1/sources/4f93481b4213ca12be4eba1c6d2dacd7aaae403737a491c2c207358af8015e4a/source.bam,sprite/ressources/WQMAXG1/sources/4f93481b4213ca12be4eba1c6d2dacd7aaae403737a491c2c207358af8015e4a/source.json,verified
WQMAXOA7,1BE43D33A3419A4F1F47A41EFAB75DBD5775816C4623C156F8D7FC44F7096137,FB58C50FD210D04C7A078FC494DA6C7683402063C8E0543BF9BDD95C3C301F46,data/OBJAnim.bif,0x002005C6,sprite/ressources/WQMAXOA7/sources/1be43d33a3419a4f1f47a41efab75dbd5775816c4623c156f8d7fc44f7096137/source.bamc,sprite/ressources/WQMAXOA7/sources/1be43d33a3419a4f1f47a41efab75dbd5775816c4623c156f8d7fc44f7096137/source.bam,sprite/ressources/WQMAXOA7/sources/1be43d33a3419a4f1f47a41efab75dbd5775816c4623c156f8d7fc44f7096137/source.json,verified
