asset_key,domain,asset_type,resref,bam_container,bam_version,frame_count,cycle_count,source_bif,locator,source_size,source_sha256,extracted_path
supplemental:sprites:object-animation-bam:WPMH3SAE,sprites,object-animation-bam,WPMH3SAE,BAMC,V1,12,8,data/OBJAnim.bif,0x0020020C,1959,BFD67E632EBC3849708BC90A752D3D48DE5A617589FFF1B936BC281FD13EAB89,graphics/source/sprites/WPMH3SAE.bam
supplemental:sprites:object-animation-bam:WPMH3SX,sprites,object-animation-bam,WPMH3SX,BAMC,V1,15,8,data/OBJAnim.bif,0x0020020D,2126,9CB62A2EE4D0AE25308FB085DF45CD231FF1DF41C441188761C87FE5387486C2,graphics/source/sprites/WPMH3SX.bam
supplemental:sprites:object-animation-bam:WPMH3SXE,sprites,object-animation-bam,WPMH3SXE,BAMC,V1,9,8,data/OBJAnim.bif,0x0020020E,1594,4DF453C872F9BE4A3E4E6161329CE8A6D4DFCE67A150FC9AC70172B4855D5E7A,graphics/source/sprites/WPMH3SXE.bam
supplemental:sprites:object-animation-bam:WPMH3W2,sprites,object-animation-bam,WPMH3W2,BAMC,V1,50,8,data/OBJAnim.bif,0x0020020F,4248,C4ABED9A5F0066A614B3AE465B2FFE394E3AD6F0469BF9F685E4CA16D2C9E572,graphics/source/sprites/WPMH3W2.bam
supplemental:sprites:object-animation-bam:WPMH3W2E,sprites,object-animation-bam,WPMH3W2E,BAMC,V1,30,8,data/OBJAnim.bif,0x00200210,2958,B7C5984BAAB18DC744BF89C6FDA8C2ED764AEB74F81F8186B0A8C08CE8653217,graphics/source/sprites/WPMH3W2E.bam
supplemental:sprites:object-animation-bam:WPMH4A1,sprites,object-animation-bam,WPMH4A1,BAMC,V1,50,16,data/OBJAnim.bif,0x00200211,7058,8352EBF852FCD910FE4ABAF2FFE9F254F3DB9E89D7FA7BCC9295926CB2D9E5CB,graphics/source/sprites/WPMH4A1.bam
supplemental:sprites:object-animation-bam:WPMH4A1E,sprites,object-animation-bam,WPMH4A1E,BAMC,V1,30,16,data/OBJAnim.bif,0x00200212,4577,DC32188A352437F5EC8A29D483D274584CFBD7122DF9C62776447FF18ACC6740,graphics/source/sprites/WPMH4A1E.bam
supplemental:sprites:object-animation-bam:WPMH4A2,sprites,object-animation-bam,WPMH4A2,BAMC,V1,50,8,data/OBJAnim.bif,0x00200213,6988,29E52EEEAF8889269917CCC8F662D327C83166C2143278805855C0BE45E8D461,graphics/source/sprites/WPMH4A2.bam
supplemental:sprites:object-animation-bam:WPMH4A2E,sprites,object-animation-bam,WPMH4A2E,BAMC,V1,30,8,data/OBJAnim.bif,0x00200214,4564,091265A5B0B20213806734FD91202621FE1AFEFDE1B125477ED75CA0BF38FD5F,graphics/source/sprites/WPMH4A2E.bam
supplemental:sprites:object-animation-bam:WPMH4A3,sprites,object-animation-bam,WPMH4A3,BAMC,V1,50,8,data/OBJAnim.bif,0x00200215,7223,8FA43DEB802CCB411B5AC546FAAE3A1466A76988D5B0DC8399B0DF09BCBEE1F6,graphics/source/sprites/WPMH4A3.bam
