asset_key,relation,dependency_resref,dependency_format,present,source_bif,locator,source_size,source_sha256,extracted_path
icon:CDAGG04,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CDAGG05,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CDAGG10,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CDAGG11,texture-page,MOS0039,PVRZ,yes,data/bgee.bif,0x0B000073,76030,753B55309E6BF28AEED849143C5DCA85C9E45AF14E6C207EAD9EF373B9C107E5,icons/dependencies/pvrz/MOS0039.pvrz
icon:CDAGG11,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDAGG12,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDAGG13,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDAGG14,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDAGG15,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDAGG16,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDAGG17,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDAGG18,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
