asset_key,asset_id,asset_directory,upscale_run,upscale_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
icon:CBDBRD03,icons:icon-cbdbrd03,icons/ressources/CBDBRD03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBDDUMPL,icons:icon-cbddumpl,icons/ressources/CBDDUMPL,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBDHEL11,icons:icon-cbdhel11,icons/ressources/CBDHEL11,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBDMSC5G,icons:icon-cbdmsc5g,icons/ressources/CBDMSC5G,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT01,icons:icon-cbelt01,icons/ressources/CBELT01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT02,icons:icon-cbelt02,icons/ressources/CBELT02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT03,icons:icon-cbelt03,icons/ressources/CBELT03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT04,icons:icon-cbelt04,icons/ressources/CBELT04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT05,icons:icon-cbelt05,icons/ressources/CBELT05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT06,icons:icon-cbelt06,icons/ressources/CBELT06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT07,icons:icon-cbelt07,icons/ressources/CBELT07,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT08,icons:icon-cbelt08,icons/ressources/CBELT08,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT09,icons:icon-cbelt09,icons/ressources/CBELT09,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELT10,icons:icon-cbelt10,icons/ressources/CBELT10,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELTBW,icons:icon-cbeltbw,icons/ressources/CBELTBW,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELTSH,icons:icon-cbeltsh,icons/ressources/CBELTSH,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBELTTY,icons:icon-cbeltty,icons/ressources/CBELTTY,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN01,icons:icon-cblun01,icons/ressources/CBLUN01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN02,icons:icon-cblun02,icons/ressources/CBLUN02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN04,icons:icon-cblun04,icons/ressources/CBLUN04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN05,icons:icon-cblun05,icons/ressources/CBLUN05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN06,icons:icon-cblun06,icons/ressources/CBLUN06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN07,icons:icon-cblun07,icons/ressources/CBLUN07,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN10,icons:icon-cblun10,icons/ressources/CBLUN10,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN12,icons:icon-cblun12,icons/ressources/CBLUN12,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN13,icons:icon-cblun13,icons/ressources/CBLUN13,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14,icons:icon-cblun14,icons/ressources/CBLUN14,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14A,icons:icon-cblun14a,icons/ressources/CBLUN14A,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14B,icons:icon-cblun14b,icons/ressources/CBLUN14B,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14C,icons:icon-cblun14c,icons/ressources/CBLUN14C,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14D,icons:icon-cblun14d,icons/ressources/CBLUN14D,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14E,icons:icon-cblun14e,icons/ressources/CBLUN14E,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14F,icons:icon-cblun14f,icons/ressources/CBLUN14F,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14G,icons:icon-cblun14g,icons/ressources/CBLUN14G,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14H,icons:icon-cblun14h,icons/ressources/CBLUN14H,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN14I,icons:icon-cblun14i,icons/ressources/CBLUN14I,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN15,icons:icon-cblun15,icons/ressources/CBLUN15,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN17,icons:icon-cblun17,icons/ressources/CBLUN17,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN18,icons:icon-cblun18,icons/ressources/CBLUN18,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN20,icons:icon-cblun20,icons/ressources/CBLUN20,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN21,icons:icon-cblun21,icons/ressources/CBLUN21,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN22,icons:icon-cblun22,icons/ressources/CBLUN22,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN23,icons:icon-cblun23,icons/ressources/CBLUN23,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBLUN24,icons:icon-cblun24,icons/ressources/CBLUN24,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOLT01,icons:icon-cbolt01,icons/ressources/CBOLT01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOLT02,icons:icon-cbolt02,icons/ressources/CBOLT02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOLT03,icons:icon-cbolt03,icons/ressources/CBOLT03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOLT04,icons:icon-cbolt04,icons/ressources/CBOLT04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOLT05,icons:icon-cbolt05,icons/ressources/CBOLT05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOLT06,icons:icon-cbolt06,icons/ressources/CBOLT06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOK01,icons:icon-cbook01,icons/ressources/CBOOK01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOK02,icons:icon-cbook02,icons/ressources/CBOOK02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOK09,icons:icon-cbook09,icons/ressources/CBOOK09,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOK89,icons:icon-cbook89,icons/ressources/CBOOK89,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOK90,icons:icon-cbook90,icons/ressources/CBOOK90,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOK91,icons:icon-cbook91,icons/ressources/CBOOK91,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOK92,icons:icon-cbook92,icons/ressources/CBOOK92,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOK93,icons:icon-cbook93,icons/ressources/CBOOK93,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT01,icons:icon-cboot01,icons/ressources/CBOOT01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT02,icons:icon-cboot02,icons/ressources/CBOOT02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT03,icons:icon-cboot03,icons/ressources/CBOOT03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT04,icons:icon-cboot04,icons/ressources/CBOOT04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT05,icons:icon-cboot05,icons/ressources/CBOOT05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT06,icons:icon-cboot06,icons/ressources/CBOOT06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT07,icons:icon-cboot07,icons/ressources/CBOOT07,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT08,icons:icon-cboot08,icons/ressources/CBOOT08,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT09,icons:icon-cboot09,icons/ressources/CBOOT09,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT10,icons:icon-cboot10,icons/ressources/CBOOT10,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOOT11,icons:icon-cboot11,icons/ressources/CBOOT11,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW01,icons:icon-cbow01,icons/ressources/CBOW01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW02,icons:icon-cbow02,icons/ressources/CBOW02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW03,icons:icon-cbow03,icons/ressources/CBOW03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW04,icons:icon-cbow04,icons/ressources/CBOW04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW05,icons:icon-cbow05,icons/ressources/CBOW05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW06,icons:icon-cbow06,icons/ressources/CBOW06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW07,icons:icon-cbow07,icons/ressources/CBOW07,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW08,icons:icon-cbow08,icons/ressources/CBOW08,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW09,icons:icon-cbow09,icons/ressources/CBOW09,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW10,icons:icon-cbow10,icons/ressources/CBOW10,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW11,icons:icon-cbow11,icons/ressources/CBOW11,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW12,icons:icon-cbow12,icons/ressources/CBOW12,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW13,icons:icon-cbow13,icons/ressources/CBOW13,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW14,icons:icon-cbow14,icons/ressources/CBOW14,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW15,icons:icon-cbow15,icons/ressources/CBOW15,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW16,icons:icon-cbow16,icons/ressources/CBOW16,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW17,icons:icon-cbow17,icons/ressources/CBOW17,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW18,icons:icon-cbow18,icons/ressources/CBOW18,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW19,icons:icon-cbow19,icons/ressources/CBOW19,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW19A,icons:icon-cbow19a,icons/ressources/CBOW19A,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBOW19B,icons:icon-cbow19b,icons/ressources/CBOW19B,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC01,icons:icon-cbrac01,icons/ressources/CBRAC01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC02,icons:icon-cbrac02,icons/ressources/CBRAC02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC03,icons:icon-cbrac03,icons/ressources/CBRAC03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC04,icons:icon-cbrac04,icons/ressources/CBRAC04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC05,icons:icon-cbrac05,icons/ressources/CBRAC05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC06,icons:icon-cbrac06,icons/ressources/CBRAC06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC07,icons:icon-cbrac07,icons/ressources/CBRAC07,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC08,icons:icon-cbrac08,icons/ressources/CBRAC08,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC09,icons:icon-cbrac09,icons/ressources/CBRAC09,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC10,icons:icon-cbrac10,icons/ressources/CBRAC10,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC12,icons:icon-cbrac12,icons/ressources/CBRAC12,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC13,icons:icon-cbrac13,icons/ressources/CBRAC13,,not-started,,not-assessed,,not-installed,,not-evaluated,,
