asset_key,resref,frame_index,width,height,center_x,center_y,block_count
icon:CLEAT10,CLEAT10,0,153,189,0,0,6
icon:CLEAT11,CLEAT11,0,124,195,0,0,6
icon:CLEAT12,CLEAT12,0,121,191,0,0,7
icon:CLEAT13,CLEAT13,0,122,193,0,0,7
icon:CLEAT14,CLEAT14,0,126,191,0,0,7
icon:CLEAT15,CLEAT15,0,130,190,0,0,7
icon:CLEAT16,CLEAT16,0,134,203,0,0,8
icon:CLEAT17,CLEAT17,0,124,188,0,0,4
icon:CLEAT18,CLEAT18,0,129,193,0,0,4
icon:CLEAT19,CLEAT19,0,144,206,0,0,5
icon:CLEAT20,CLEAT20,0,131,195,0,0,9
icon:CLEAT21,CLEAT21,0,126,194,0,0,6
icon:CLEAT22,CLEAT22,0,104,190,0,0,9
icon:CMISC01,CMISC01,0,128,193,0,0,9
icon:CMISC02,CMISC02,0,57,131,0,0,5
icon:CMISC03,CMISC03,0,118,107,0,0,1
icon:CMISC07,CMISC07,0,172,125,0,0,7
icon:CMISC12,CMISC12,0,160,162,0,0,7
icon:CMISC16,CMISC16,0,78,70,0,0,4
icon:CMISC19,CMISC19,0,112,80,0,0,4
icon:CMISC1G,CMISC1G,0,160,155,0,0,6
icon:CMISC1H,CMISC1H,0,160,170,0,0,7
icon:CMISC1I,CMISC1I,0,176,172,0,0,8
icon:CMISC21,CMISC21,0,77,90,0,0,4
icon:CMISC22,CMISC22,0,77,99,0,0,4
icon:CMISC24,CMISC24,0,83,98,0,0,3
icon:CMISC2A,CMISC2A,0,168,133,0,0,9
icon:CMISC2B,CMISC2B,0,160,129,0,0,6
icon:CMISC2C,CMISC2C,0,136,103,0,0,7
icon:CMISC2F,CMISC2F,0,144,140,0,0,8
icon:CMISC2G,CMISC2G,0,152,130,0,0,4
icon:CMISC2I,CMISC2I,0,136,90,0,0,2
icon:CMISC2J,CMISC2J,0,128,96,0,0,4
icon:CMISC2K,CMISC2K,0,128,100,0,0,6
icon:CMISC2L,CMISC2L,0,128,100,0,0,6
icon:CMISC2M,CMISC2M,0,128,102,0,0,5
icon:CMISC2N,CMISC2N,0,128,96,0,0,1
icon:CMISC2P,CMISC2P,0,136,161,0,0,3
icon:CMISC3A,CMISC3A,0,148,137,0,0,4
icon:CMISC3C,CMISC3C,0,151,223,0,0,9
icon:CMISC3D,CMISC3D,0,136,184,0,0,7
icon:CMISC3E,CMISC3E,0,133,159,0,0,4
icon:CMISC3F,CMISC3F,0,103,173,0,0,9
icon:CMISC3H,CMISC3H,0,130,156,0,0,8
icon:CMISC3I,CMISC3I,0,104,169,0,0,9
icon:CMISC3J,CMISC3J,0,142,158,0,0,5
icon:CMISC3K,CMISC3K,0,130,173,0,0,11
icon:CMISC3L,CMISC3L,0,128,138,0,0,6
icon:CMISC3M,CMISC3M,0,136,193,0,0,9
icon:CMISC3N,CMISC3N,0,144,165,0,0,9
icon:CMISC3O,CMISC3O,0,147,194,0,0,11
icon:CMISC3P,CMISC3P,0,128,90,0,0,6
icon:CMISC47,CMISC47,0,101,205,0,0,7
icon:CMISC48,CMISC48,0,143,195,0,0,10
icon:CMISC49,CMISC49,0,177,203,0,0,7
icon:CMISC4A,CMISC4A,0,103,99,0,0,5
icon:CMISC4B,CMISC4B,0,108,141,0,0,8
icon:CMISC4C,CMISC4C,0,156,156,0,0,6
icon:CMISC4D,CMISC4D,0,116,170,0,0,6
icon:CMISC4E,CMISC4E,0,153,175,0,0,7
icon:CMISC4G,CMISC4G,0,137,185,0,0,9
icon:CMISC4H,CMISC4H,0,106,145,0,0,8
icon:CMISC4I,CMISC4I,0,90,157,0,0,5
icon:CMISC4J,CMISC4J,0,112,166,0,0,8
icon:CMISC4K,CMISC4K,0,119,162,0,0,6
icon:CMISC4L,CMISC4L,0,108,184,0,0,5
icon:CMISC4M,CMISC4M,0,90,166,0,0,8
icon:CMISC4N,CMISC4N,0,92,122,0,0,4
icon:CMISC4P,CMISC4P,0,104,149,0,0,7
icon:CMISC4Q,CMISC4Q,0,122,182,0,0,10
icon:CMISC4R,CMISC4R,0,83,138,0,0,8
icon:CMISC4S,CMISC4S,0,103,166,0,0,6
icon:CMISC4T,CMISC4T,0,117,153,0,0,5
icon:CMISC4U,CMISC4U,0,103,180,0,0,8
icon:CMISC4V,CMISC4V,0,92,161,0,0,8
icon:CMISC4W,CMISC4W,0,140,134,0,0,6
icon:CMISC4X,CMISC4X,0,65,189,0,0,2
icon:CMISC4Y,CMISC4Y,0,97,199,0,0,10
icon:CMISC4Z,CMISC4Z,0,100,136,0,0,5
icon:CMISC50,CMISC50,0,210,224,0,0,7
icon:CMISC51,CMISC51,0,168,227,0,0,6
icon:CMISC52,CMISC52,0,151,158,0,0,7
icon:CMISC53,CMISC53,0,180,139,0,0,4
icon:CMISC54,CMISC54,0,166,67,0,0,4
icon:CMISC56,CMISC56,0,134,139,0,0,8
icon:CMISC57,CMISC57,0,140,200,0,0,9
icon:CMISC58,CMISC58,0,164,215,0,0,14
icon:CMISC59,CMISC59,0,160,173,0,0,5
icon:CMISC5A,CMISC5A,0,72,102,0,0,6
icon:CMISC5B,CMISC5B,0,87,140,0,0,7
icon:CMISC5C,CMISC5C,0,94,159,0,0,6
icon:CMISC5D,CMISC5D,0,136,183,0,0,9
icon:CMISC5E,CMISC5E,0,91,168,0,0,7
